id,name
0,NONE
1,STONE
2,DIRT_UNSAFE
3,EBONSTONE_UNSAFE
4,WOOD
5,GRAY_BRICK
6,RED_BRICK
7,BLUE_DUNGEON_UNSAFE
8,GREEN_DUNGEON_UNSAFE
9,PINK_DUNGEON_UNSAFE
10,GOLD_BRICK
11,SILVER_BRICK
12,COPPER_BRICK
13,HELLSTONE_BRICK_UNSAFE
14,OBSIDIAN_BRICK_UNSAFE
15,MUD_UNSAFE
16,DIRT
17,BLUE_DUNGEON
18,GREEN_DUNGEON
19,PINK_DUNGEON
20,OBSIDIAN_BRICK
21,GLASS
22,PEARLSTONE_BRICK
23,IRIDESCENT_BRICK
24,MUDSTONE_BRICK
25,COBALT_BRICK
26,MYTHRIL_BRICK
27,PLANKED
28,PEARLSTONE_BRICK_UNSAFE
29,CANDY_CANE
30,GREEN_CANDY_CANE
31,SNOW_BRICK
32,ADAMANTITE_BEAM
33,DEMONITE_BRICK
34,SANDSTONE_BRICK
35,EBONSTONE_BRICK
36,RED_STUCCO
37,YELLOW_STUCCO
38,GREEN_STUCCO
39,GRAY
40,SNOW_WALL_UNSAFE
41,EBONWOOD
42,RICH_MAOGANY
43,PEARLWOOD
44,RAINBOW_BRICK
45,TIN_BRICK
46,TUNGSTEN_BRICK
47,PLATINUM_BRICK
48,AMETHYST_UNSAFE
49,TOPAZ_UNSAFE
50,SAPPHIRE_UNSAFE
51,EMERALD_UNSAFE
52,RUBY_UNSAFE
53,DIAMOND_UNSAFE
54,CAVE_UNSAFE
55,CAVE2UNSAFE
56,CAVE3UNSAFE
57,CAVE4UNSAFE
58,CAVE5UNSAFE
59,CAVE6UNSAFE
60,LIVING_LEAF
61,CAVE7UNSAFE
62,SPIDER_UNSAFE
63,GRASS_UNSAFE
64,JUNGLE_UNSAFE
65,FLOWER_UNSAFE
66,GRASS
67,JUNGLE
68,FLOWER
69,CORRUPT_GRASS_UNSAFE
70,HALLOWED_GRASS_UNSAFE
71,ICE_UNSAFE
72,CACTUS
73,CLOUD
74,MUSHROOM
75,BONE
76,SLIME
77,FLESH
78,LIVING_WOOD
79,OBSIDIAN_BACK_UNSAFE
80,MUSHROOM_UNSAFE
81,CRIMSON_GRASS_UNSAFE
82,DISC_WALL
83,CRIMSTONE_UNSAFE
84,ICE_BRICK
85,SHADEWOOD
86,HIVE_UNSAFE
87,LIHZAHRD_BRICK_UNSAFE
88,PURPLE_STAINED_GLASS
89,YELLOW_STAINED_GLASS
90,BLUE_STAINED_GLASS
91,GREEN_STAINED_GLASS
92,RED_STAINED_GLASS
93,RAINBOW_STAINED_GLASS
